course_code,course_name,section,format,schedule,status,enrollment_cap,seats_available,professor_name,rmp_rating,rmp_difficulty,rmp_would_take_again,rmp_has_data
CRJU 10121,"Career Plan, Ethics, Prof Dev:CJ",74,In Person,W16:00-16:50,Open,25,5,Kendra Bowen,4,3.2,70,Yes
CRJU 20413,Intro/Criminal Justice,5,In Person,TR 8:00- 9:20,Open,50,5,Ronald Burns,4.3,3,61,Yes
CRJU 20413,Intro/Criminal Justice,15,In Person,TR 9:30-10:50,Open,50,5,Kendra Bowen,4,3.2,70,Yes
CRJU 20413,Intro/Criminal Justice,35,In Person,TR11:00-12:20,Open,50,5,Jose Sanchez,4.5,1.5,100,Yes
CRJU 20413,Intro/Criminal Justice,45,In Person,TR12:30-13:50,Open,50,5,Brie Diamond,3.2,3.8,50,Yes
CRJU 20413,Intro/Criminal Justice,55,In Person,TR14:00-15:20,Open,50,5,Patrick Kinkade,2.5,4.5,20,Yes
CRJU 20413,Intro/Criminal Justice,74,In Person,MW16:00-17:20,Open,50,5,Johnny Nhan,3.7,2.9,34,Yes
CRJU 20413,Intro/Criminal Justice,81,In Person,W19:00-21:40,Open,50,5,Katherine Polzer,4.5,1.7,95,Yes
CRJU 20413,Intro/Criminal Justice,82,In Person,W19:00-21:40,Open,50,5,Michele Meitl,4.8,2.8,90,Yes
CRJU 20413,Intro/Criminal Justice,83,In Person,T18:30-21:10,Open,50,5,Ronald Burns,4.3,3,61,Yes
CRJU 20413,Intro/Criminal Justice,84,In Person,M19:00-21:40,Open,50,5,Kendra Bowen,4,3.2,70,Yes
CRJU 20423,Crit Issues:Crime&Justce,5,In Person,TR 8:00- 9:20,Open,30,5,Kendra Bowen,4,3.2,70,Yes
CRJU 20423,Crit Issues:Crime&Justce,10,In Person,MWF 9:00- 9:50,Open,30,5,Ronald Burns,4.3,3,61,Yes
CRJU 20423,Crit Issues:Crime&Justce,20,In Person,MWF10:00-10:50,Open,30,5,Douglas Brasher,4.7,1.8,93,Yes
